0	Date	Open	High	Low	Close	
	2023-12-26	39710.03	39727.13	37802.32	38564.22	
	2023-12-25	39394.84	40047.33	39151.62	39705.0	
	2023-12-24	39944.35	40167.3	39000.0	39404.3	
	2023-12-23	40032.99	40047.34	39375.18	39944.37	
	2023-12-22	39884.89	40409.97	39430.01	40023.67	
	2023-12-21	39933.58	40289.99	39500.0	39883.76	
	2023-12-20	38512.95	40391.74	38485.91	39923.44	
	2023-12-19	39043.44	39758.0	38099.53	38501.36	
	2023-12-18	37974.63	39130.99	37159.01	39037.34	
	2023-12-17	38767.06	38839.44	37856.27	37965.95	
	2023-12-16	38547.32	39174.98	38270.0	38753.14	
	2023-12-15	39158.21	39300.0	38248.38	38521.35	
	2023-12-14	39472.46	39697.97	38160.0	39151.11	
	2023-12-13	38454.01	40050.69	37655.64	39472.43	
	2023-12-12	38353.03	39059.98	37720.45	38446.35	
	2023-12-11	40718.04	40725.53	37363.34	38353.21	
	2023-12-10	40702.89	40990.3	40508.84	40717.97	
	2023-12-09	41123.35	41297.72	40561.59	40690.71	
	2023-12-08	40153.32	41574.46	37500.0	41109.83	
	2023-12-07	40687.63	40963.12	39756.73	40153.31	
	2023-12-06	40887.7	41077.49	40259.78	40677.82	
	2023-12-05	38783.39	41249.96	38279.0	40869.18	
	2023-12-04	36734.38	39176.16	36734.19	38784.4	
	2023-12-03	36296.31	37000.0	36125.98	36733.48	
	2023-12-02	35582.14	36532.0	35541.55	36298.1	
	2023-12-01	34663.82	35890.0	34549.51	35583.44	
	2023-11-30	34521.92	34776.99	34384.97	34650.78	
	2023-11-29	34401.62	35060.58	34262.64	34520.98	
	2023-11-28	34017.93	34936.77	33687.41	34392.73	
	2023-11-27	34203.62	34300.0	33600.0	34014.09	
	2023-11-26	34452.94	34500.0	33766.12	34188.11	
	2023-11-25	34497.98	34609.8	34184.07	34446.3	
	2023-11-24	34207.37	35145.05	34172.93	34486.71	
	2023-11-23	34372.45	34492.94	33864.09	34207.57	
	2023-11-22	32779.1	34799.55	32686.0	34364.76	
	2023-11-21	34262.69	34397.41	32773.96	32773.96	
	2023-11-20	34290.62	34559.08	33650.68	34262.68	
	2023-11-19	33624.21	34412.24	33429.47	34283.67	
	2023-11-18	33615.24	33870.74	33240.56	33614.37	
	2023-11-17	33378.06	33877.08	33035.84	33607.46	
	2023-11-16	34943.26	35008.6	32714.43	33378.71	
	2023-11-15	32728.25	35032.98	32543.98	34941.08	
	2023-11-14	34117.05	34382.84	32050.01	32739.18	
	2023-11-13	34748.53	35080.54	34000.0	34104.6	
	2023-11-12	34848.91	34921.45	34481.75	34735.56	
	2023-11-11	34979.4	35069.84	34414.0	34842.25	
	2023-11-10	34438.05	35189.44	34061.65	34967.12	
	2023-11-09	33307.53	35481.18	33222.14	34436.47	
	2023-11-08	33135.87	33747.19	32869.15	33306.05	
	2023-11-07	32718.04	33570.28	32354.54	33126.6	
	2023-11-06	32668.86	32863.56	32383.29	32713.63	
	2023-11-05	32757.68	33031.2	32164.54	32672.6	
	2023-11-04	32418.71	32945.58	32298.9	32760.83	
	2023-11-03	32963.52	32968.28	32020.01	32419.9	
	2023-11-02	33522.15	33995.05	32350.88	32962.83	
	2023-11-01	32790.78	33723.94	32314.96	33518.23	
	2023-10-31	32530.59	32857.12	32069.82	32790.79	
	2023-10-30	32760.32	32937.15	32178.46	32531.23	
	2023-10-29	32314.82	32975.41	32174.84	32756.2	
	2023-10-28	32099.63	32663.83	32060.02	32315.74	
